applicant_type,application_number,ben,cnct_email,form_471_manufacturer_name,form_471_product_name,funding_request_number,funding_year,model_of_equipment,monthly_quantity,monthly_recur_ineligible_cost,monthly_recurring_unit_eligible_costs,one_time_eligible_costs,one_time_ineligible_cost,one_time_quantity,organization_name,pre_discount_extended_eligible_line_item_costs,price,standardized_vendor,state,total_eligible_one_time_costs,total_eligible_recurring_costs,total_monthly_cost,total_monthly_eligible_recurring_costs,total_one_time_cost
School District,221024936,140411,cbailey@kelloggllc.com,Aruba,Switch,2299034693,2022,(District 140411) JL429A | HP Enterprise Aruba3810M 48G PoE+4SFP+ 1050W SwitchJL429A - IncludesInstallation &Configuration,0,0,0,8500,0,1,POTEAU INDEP SCHOOL DIST 29,8500,Yes,Hp,OK,8500,0,0,0,8500
School District,221022115,140165,dsovereign@kelloggllc.com,Extreme Networks,Switch,2299029614,2022,(Indian Capital Technology Campus 140165) 5420M-48W-4YE | ExtremeSwitching 5420M 48 10/100/1000BASET FDX/HDX 802.3bt 90WPoE 2 stacking/SFP-,0,0,0,3900,0,9,INDIAN CAPITAL TECHNOLOGY CENTERS,35100,No,Extreme,OK,35100,0,0,0,3900
School District,221010645,140213,karla@crwconsulting.com,Extreme Networks,Cabling,2299012533,2022,10099.0,0,0,0,15,0,17,GRAND VIEW SCHOOL DISTRICT 34,255,No,Extreme,OK,255,0,0,0,15
School District,221037678,140183,dsovereign@kelloggllc.com,Ubiquiti,Switch,2299056000,2022,(District 140183) 48 Port POE Switch | 48 Port POE Switch,0,0,0,1263.85,0,11,HASKELL INDEP SCHOOL DIST 2,13902.35,No,Ubiquiti,OK,13902.35,0,0,0,1263.85
School District,221033274,140420,bgillham@spk12.org,Extreme Networks,Switch,2299049081,2022,5320,0,0,0,1316,0,1,SHADY POINT SCHOOL DISTRICT 4,1316,Yes,Extreme,OK,1316,0,0,0,1316
School District,221022883,140082,eratemone4u@yahoo.com,Extreme Networks,Switch,2299030984,2022,5520-48W,0,0,0,4089,0,3,MOUNDS INDEP SCHOOL DISTRICT 5,12267,No,Extreme,OK,12267,0,0,0,4089
School District,221018858,139781,riley.harpole@kelloggllc.com,Dell,Cabling,2299024414,2022,"(District 139781) 470-AAGP | Dell Networking, Cable, SFP+ to SFP+, 10GbE, CopperTwinax Direct Attach Cable, 3 Meter",0,0,0,25.45,0,3,JONES INDEP SCHOOL DISTRICT I9,76.35,No,Dell,OK,76.35,0,0,0,25.45
School District,221024890,140324,dsovereign@kelloggllc.com,Aruba,Access Point,2299034577,2022,(SHS 85173) R3J16A | Aruba Mounting Bracket for Wireless Access Point,0,0,0,13.09,0,3,SHAWNEE INDEP SCHOOL DIST I-93,39.27,No,Hp,OK,39.27,0,0,0,13.09
School District,221014246,139777,dee.benson@guthrieps.net,Aruba,LAN Controller,2299017401,2022,Central,0,0,0,1274,0,56,GUTHRIE INDEP SCHOOL DIST 1,71344,No,Hp,OK,71344,0,0,0,1274
School District,221016969,140058,karla@crwconsulting.com,Aruba,Switch,2299021398,2022,JL662A,0,0,0,2795.29,0,4,OAK GROVE SCHOOL DISTRICT 104,11181.16,No,Hp,OK,11181.16,0,0,0,2795.29
School District,221020472,139922,drew@myerateguy.com,Ubiquiti,Switch,2299026921,2022,UniFi Switch Pro 48p 600w PoE 4x 10G Uplink,0,0,0,1102,0,10,Arapaho-Butler Indep School Dist 5,11020,No,Ubiquiti,OK,11020,0,0,0,1102
School District,221024032,140233,alinam@kelloggllc.com,Ubiquiti,Access Point,2299032911,2022,"(District 140233)  | Ubiquiti, UniFi AP-AC-M-Pro Outdoor Mesh Hi Power",0,0,0,198.12,0,8,ATOKA INDEP SCHOOL DISTRICT 15,1584.96,No,Ubiquiti,OK,1584.96,0,0,0,198.12
School District,221018858,139781,riley.harpole@kelloggllc.com,Dell,Cabling,2299024414,2022,"(District 139781) 470-AAPX | Dell Networking Stacking Cable for N2000/N3000/S3100series switches (no cross-series stacking), 3m",0,0,0,66.79,0,3,JONES INDEP SCHOOL DISTRICT I9,200.37,No,Dell,OK,200.37,0,0,0,66.79
School District,221032673,139966,aweibling@garber.k12.ok.us,Meraki,"Installation, Activation, & Initial Configuration",2299054053,2022,Installation of Network Equipment - Attach Meraki AP to Ceiling Grid,0,0,0,332.5,0,1,GARBER INDEP SCHOOL DIST 47,332.5,Yes,Cisco,OK,332.5,0,0,0,332.5
School District,221018365,140254,riley.harpole@kelloggllc.com,Fortinet,Module,2299023682,2022,"(RHS 85030) FN-TRAN-SX | Fortinet SFP (mini-GBIC) Module - For Data Networking,Optical Network - 1 x 1 000Base-SX Network - OpticalFiberGigabit Ethernet - 1 000Base-SX",0,0,0,27.33,0,2,RATTAN INDEP SCHOOL DISTRICT 1,54.66,No,Fortinet,OK,54.66,0,0,0,27.33
School District,221021303,140309,riley.harpole@kelloggllc.com,Cisco Systems,License,2299029315,2022,(District 140309) EDU-DNA-E-3Y | Digital Network Architecture Essentials,0,0,0,156.55,0,46,HAWORTH INDEP SCHOOL DIST 6,7201.3,No,Cisco,OK,7201.3,0,0,0,156.55
School,221037475,84826,jpillo@eratefirst.com,Netgear,Switch,2299055647,2022,52-Port Pro PoE Switch,0,0,0,1499,0,1,KENWOOD ELEMENTARY SCHOOL,1499,No,Netgear,OK,1499,0,0,0,1499
School District,221011202,139797,dchristensen@kelloggllc.com,Aruba,Switch,2299016455,2022,(District 139797) J9829A#ABA | HPE Aruba 5400R 1100W PoE,0,0,0,621.44,0,4,NOBLE INDEP SCHOOL DISTRICT 40,2485.76,No,Hp,OK,2485.76,0,0,0,621.44
School District,221026735,140177,eratemone4u@yahoo.com,SonicWALL,License,2299037628,2022,02-SSC-9225 SonicWall Advanced Protection Service Suite for NSa 4700 - 1-year subscription license,0,0,0,2517.5,2517.5,1,EUFAULA INDEP SCHOOL DIST 1,2517.5,No,Sonicwall,OK,2517.5,0,0,0,5035
School District,221032694,16051616,kenny@acklin.net,Ubiquiti,Switch,2299048385,2022,US-16-150W Ubiquiti 16 port switch managed PoE+ w SFP,0,0,0,527.62,175.88,1,"BIG FIVE COMMUNITY SERVICES, INC.",527.62,Yes,Ubiquiti,OK,527.62,0,0,0,703.5
School District,221015396,140044,riley.harpole@kelloggllc.com,Extreme Networks,Access Point,2299019376,2022,(District 140044) AP4000-WW | Indoor Tri Radio Wi-Fi 6E AP 2.4 GHz 5 GHz 6 GHz,0,0,0,405,0,32,BROKEN ARROW SCHOOL DISTRICT 3,12960,No,Extreme,OK,12960,0,0,0,405
School District,221023153,140075,dsovereign@kelloggllc.com,Ruckus Wireless,Access Point,2299031415,2022,"901-R650-US00 | Ruckus R650 - Wireless access point - ZigBee - Wi-Fi 6 - 2.4 GHz, 5 GHz",0,0,0,395,0,900,JENKS INDEP SCHOOL DISTRICT 5,355500,No,Ruckus,OK,355500,0,0,0,395
School District,221038946,139876,collect-ed@hotmail.com,Meraki,License,2299058220,2022,LIC-MS425-16-3YR,0,0,0,795.14,0,1,Lawton Public School Dist,795.14,No,Cisco,OK,795.14,0,0,0,795.14
School District,221038946,139876,collect-ed@hotmail.com,Meraki,Switch,2299058220,2022,MS425-16-HW,0,0,0,6621.5,0,1,Lawton Public School Dist,6621.5,No,Cisco,OK,6621.5,0,0,0,6621.5
School District,221014642,139831,dsovereign@kelloggllc.com,Cisco Systems,Transceiver,2299018016,2022,SFP-10G-SR | SFP+ Transceiver module - 10 GigE - 10GBase-SR - LC/PC multimode,0,0,0,368.14,0,4,OKLAHOMA CITY SCHOOL DIST I-89,1472.56,No,Cisco,OK,1472.56,0,0,0,368.14
School District,221017312,140334,riley.harpole@kelloggllc.com,Extreme Networks,Module,2299021916,2022,(District 140334) 10951 | Extreme Networks Summit X460-G2 Series AC PSU FB - powersupply - 715 Watt,0,0,0,473.5,0,6,BYNG SCHOOL DISTRICT 16,2841,No,Extreme,OK,2841,0,0,0,473.5
School District,221018926,139957,hamptonsh@canton.k12.ok.us,Meraki,License,2299028605,2022,Cisco Meraki Enterprise License,0,0,0,1364,0,4,CANTON INDEP SCHOOL DIST 105,5456,No,Cisco,OK,5456,0,0,0,1364
School District,221035256,139932,buckmaster.cindy@elkcityschools.com,Meraki,Transceiver,2299057419,2022,MA-SFP-1GB-TX,0,0,0,184.95,0,6,ELK CITY INDEP SCHOOL DIST 6,1109.7,No,Cisco,OK,1109.7,0,0,0,184.95
School District,221035128,140356,rbotts@kelloggllc.com,Cisco Systems,Switch,2299051630,2022,(District 140356) PWR-C5- 1KWAC/2 | CISCO 1KW AC CONFIG 5 P/S SECONDARY POWER SUPPLY,0,0,0,1543.87,0,4,MCLOUD PUBLIC SCHOOLS,6175.48,No,Cisco,OK,6175.48,0,0,0,1543.87
School District,221010204,140369,kimberly@crwconsulting.com,Extreme Networks,Switch,2299011896,2022,XN-ACPWR-920W,0,0,0,475,0,2,PRAGUE PUBLIC SCHOOLS,950,No,Extreme,OK,950,0,0,0,475
School District,221027316,140355,riley.harpole@kelloggllc.com,Meraki,Access Point,2299038681,2022,(District 140355) MR86-HW | Meraki MR86 Wi-Fi 6 Outdoor AP,0,0,0,1053.84,0,1,KONAWA INDEP SCHOOL DISTRICT 4,1053.84,No,Cisco,OK,1053.84,0,0,0,1053.84
School District,221022115,140165,dsovereign@kelloggllc.com,Extreme Networks,Cabling,2299029614,2022,(Indian Capital Technology Campus 140165) 10099 | Power Cord 15A USA NEMA 5-15 C15,0,0,0,12,0,20,INDIAN CAPITAL TECHNOLOGY CENTERS,240,No,Extreme,OK,240,0,0,0,12
School District,221007718,140199,rcriner@twinhills.k12.ok.us,Fortinet,Switch,2299008736,2022,FortiSwitch 108E-FPOE,0,0,0,282.36,0,3,TWIN HILLS SCHOOL DISTRICT II,847.08,No,Fortinet,OK,847.08,0,0,0,282.36
School District,221003200,140097,riley.harpole@kelloggllc.com,Juniper Networks,License,2299002966,2022,(District 140097) SVC-COR-EX4300P48 | JUNIPER CARE CORE SUPPORT FOR EX4300-48P,0,0,0,163.59,0,7,SAND SPRINGS SCHOOL DISTRICT 2,1145.13,No,Hp,OK,1145.13,0,0,0,163.59
School District,221014246,139777,dee.benson@guthrieps.net,Aruba,Transceiver,2299017401,2022,SFP28,0,0,0,1125,0,40,GUTHRIE INDEP SCHOOL DIST 1,45000,No,Hp,OK,45000,0,0,0,1125
School District,221023695,139778,karla@crwconsulting.com,Fortinet,Switch,2299032283,2022,FS-M426E-FPOE,0,0,0,2434.93,0,10,HARRAH INDEP SCHOOL DISTRICT 7,24349.3,No,Fortinet,OK,24349.3,0,0,0,2434.93
