applicant_type,application_number,ben,cnct_email,form_471_manufacturer_name,form_471_product_name,funding_request_number,funding_year,model_of_equipment,monthly_quantity,monthly_recur_ineligible_cost,monthly_recurring_unit_eligible_costs,one_time_eligible_costs,one_time_ineligible_cost,one_time_quantity,organization_name,pre_discount_extended_eligible_line_item_costs,price,standardized_vendor,state,total_eligible_one_time_costs,total_eligible_recurring_costs,total_monthly_cost,total_monthly_eligible_recurring_costs,total_one_time_cost
School District,251040561,140503,dhartzell@vstservices.com,Cisco Systems,Cabling,2599057932,2025,STACK-T1-50CM,1,0,0,40.22,0,2,FORNEY INDEP SCHOOL DISTRICT,80.44,No,Cisco,TX,80.44,0,0,0,40.22
School District,251029897,140960,kbrunker@archercityisd.net,Extreme Networks,Switch,2599045660,2025,4220-12P-4X,0,0,0,912,0,5,ARCHER CITY SCHOOL DISTRICT,4560,No,Extreme,TX,4560,0,0,0,912
School District,251000069,141306,masmith@esc12.net,Juniper Networks,License,2599021003,2025,S-EX-S-C3-5M146C-E,0,0,0,983.4,0,4,COLUMBIA-BRAZORIA IND SCH DIST,3933.6,No,Hp,TX,3933.6,0,0,0,983.4
School District,251030978,141524,jmckee@pawneeisd.net,Meraki,Access Point,2599043088,2025,MR36-HW,0,0,0,374.74,0,7,PAWNEE INDEPENDENT SCHOOL DISTRICT,2623.18,No,Cisco,TX,2623.18,0,0,0,374.74
School,251033497,198871,apolanco@burnhamwood.org,Cisco Systems,Module,2599050891,2025,PWR-C1-1100WAC-P-M,0,0,0,699,0,9,EL PASO EDUCATION INITIATIVE INC DBA BURNHAM  WOOD CHARTER SCHOOL,6291,No,Cisco,TX,6291,0,0,0,699
School District,251019500,141598,dpowell@premontisd.net,Cisco Systems,License,2599023923,2025,C9200L-DNA-E-24-3Y,0,0,0,404.09,0,1,PREMONT INDEP SCHOOL DISTRICT,404.09,No,Cisco,TX,404.09,0,0,0,404.09
School District,251037709,140670,swager@ndisd.org,Aruba,License,2599053926,2025,JW546AAE,0,0,0,0,147,29,NEW DIANA INDEP SCHOOL DIST,0,No,Hp,TX,0,0,0,0,147
School District,251030978,141524,jmckee@pawneeisd.net,Meraki,License,2599043088,2025,LIC-MS225-48FP-5YR,0,0,0,1081.78,0,3,PAWNEE INDEPENDENT SCHOOL DISTRICT,3245.34,No,Cisco,TX,3245.34,0,0,0,1081.78
School District,251001294,142017,aadams@merkelisd.net,Ruckus,Connectors,2599000891,2025,48 Port Pandult Module Panel,0,0,0,581.69,0,9,MERKEL INDEP SCHOOL DISTRICT,5235.21,No,Ruckus,TX,5235.21,0,0,0,581.69
School District,251038025,140501,kroiuk@kelloggllc.com,Extreme Networks,Switch,2599054105,2025,(FERR 140501) 10061 | Extreme Networks - power cable - NEMA 5-15 to IEC 60320 C13,0,0,0,5,0,74,FERRIS INDEPENDENT SCHOOL DISTRICT,370,No,Extreme,TX,370,0,0,0,5
School District,251019547,141357,kimberly@crwconsulting.com,Cisco Systems,Module,2599023994,2025,C9200L-STACK-KIT,0,0,0,802.33,0,5,BRIDGE CITY INDEP SCHOOL DIST,4011.65,Yes,Cisco,TX,4011.65,0,0,0,802.33
School District,251001294,142017,aadams@merkelisd.net,Ruckus,"Installation, Activation, & Initial Configuration",2599000891,2025,Labor,0,0,0,1744.19,0,1,MERKEL INDEP SCHOOL DISTRICT,1744.19,No,Ruckus,TX,1744.19,0,0,0,1744.19
School District,251033925,140817,dhartzell@vstservices.com,Extreme Networks,License,2599047852,2025,USK12-STD-C-S-C-EW-5Y-5,1,0,0,806.07,0,2,CENTRAL HEIGHTS INDEP SCH DIST,1612.14,No,Extreme,TX,1612.14,0,0,0,806.07
School District,251013680,141585,glopez@sgisd.net,Meraki,License,2599015590,2025,LIC-ENT-5YR,0,0,0,403.94,0,9,SANTA GERTRUDIS INDEP SCH DIST,3635.46,No,Cisco,TX,3635.46,0,0,0,403.94
School District,251038070,140953,dhartzell@vstservices.com,Ubiquiti,Switch,2599054156,2025,USW-Pro-Max-48-PoE,1,0,0,1600,0,18,VALLEY VIEW INDEP SCHOOL DIST,28800,No,Ubiquiti,TX,28800,0,0,0,1600
School District,251013027,140705,atrice@esc12.net,Ubiquiti,Module,2599014554,2025,UACC-OM-QSFP28-LR4,0,0,0,283.14,0,16,PITTSBURG INDEP SCHOOL DIST,4530.24,No,Ubiquiti,TX,4530.24,0,0,0,283.14
School,251037108,88692,cbalbo@ocerate.com,Meraki,Firewall Services & Components,2599052671,2025,MX67-HW,0,0,0,704.61,0,1,ASSUMPTION CATHOLIC SCHOOL,704.61,No,Cisco,TX,704.61,0,0,0,704.61
School District,251015044,141296,courtney@crwconsulting.com,Aruba,Module,2599017503,2025,JL083A,0,0,0,442.9,0,7,SEALY INDEP SCHOOL DISTRICT,3100.3,Yes,Hp,TX,3100.3,0,0,0,442.9
School District,251001797,141962,susan.vardeman@esc12.net,Cisco Systems,Switch,2599007690,2025,C9300L-48P-4X-M,0,0,0,3768,0,1,SEAGRAVES Independent School District,3768,No,Cisco,TX,3768,0,0,0,3768
School District,251038949,140942,jeffery.priddy@prairievalleyisd.net,Meraki,Switch,2599055676,2025,MS225-24P-HW,0,0,0,2676.9,0,1,PRAIRIE VALLEY INDEP SCH DIST,2676.9,No,Cisco,TX,2676.9,0,0,0,2676.9
